"x","y","z"
68,81,29
71,4,92
60,97,56
39,46,29
52,36,29
53,53,80
54,12,1
85,75,14
54,4,46
67,77,14
87,26,86
30,36,30
74,90,5
87,46,55
78,28,45
49,54,34
39,8,13
11,46,72
81,35,52
99,95,13
2,76,60
6,12,70
66,3,54
24,50,55
44,17,61
90,56,36
53,50,65
10,38,7
10,78,45
1,36,74
31,32,44
51,49,97
3,41,90
15,36,6
58,39,66
18,72,20
51,59,39
10,84,72
58,44,58
55,4,9
39,89,94
28,69,58
46,96,64
22,20,10
56,59,27
63,37,30
93,64,21
73,16,84
24,6,64
98,53,12
16,75,50
5,89,44
10,32,80
40,51,53
14,84,64
19,49,68
19,97,7
48,30,90
62,74,93
81,11,68
46,25,28
24,33,9
30,80,32
88,85,40
44,11,89
24,95,19
14,70,49
51,76,49
19,23,92
81,70,85
64,16,9
39,91,98
73,6,48
49,23,25
10,42,98
94,93,69
44,61,3
64,18,82
42,20,76
96,30,64
87,74,4
42,50,23
15,72,25
75,65,54
63,26,29
67,49,83
22,85,67
56,46,38
82,79,0
27,99,52
41,95,16
1,88,92
69,21,99
41,84,55
23,31,56
49,82,71
30,15,58
15,10,88
50,56,67
46,22,13
30,66,0
1,44,63
43,75,21
18,17,23
33,67,25
35,0,92
8,44,44
42,60,93
50,72,12
36,76,93
56,7,35
46,66,16
11,16,61
97,29,89
48,42,58
28,38,51
19,91,21
58,45,5
10,90,33
43,9,77
2,52,32
58,96,84
13,68,86
11,44,11
79,78,35
82,79,52
83,20,69
17,83,42
42,81,30
53,62,27
30,93,20
61,61,82
99,5,89
4,62,9
79,76,75
13,8,75
24,53,14
23,63,15
25,68,35
87,97,82
37,68,42
70,64,57
70,64,89
2,68,41
42,37,91
22,17,96
70,96,19
80,73,2
41,91,60
99,74,45
32,35,4
2,47,45
12,88,76
78,11,55
60,92,83
69,95,68
60,3,86
38,99,27
69,30,12
68,91,78
48,16,86
23,17,22
91,62,72
4,59,82
22,94,16
95,90,13
42,35,87
99,88,23
37,88,30
41,73,10
98,42,13
15,13,28
70,72,20
5,43,71
7,65,17
6,49,48
8,73,38
73,8,67
1,44,88
53,13,22
19,53,12
18,21,68
88,69,70
32,9,1
24,15,74
35,23,20
45,43,40
12,43,80
77,92,55
92,54,40
21,90,75
49,42,23
22,6,49
81,12,33
40,48,75
75,51,71
1,85,53
88,54,54
57,50,2
53,53,99
54,85,57
5,99,78
70,11,27
39,58,48
11,10,71
24,39,70
4,75,50
86,5,16
42,12,53
79,45,78
16,6,25
11,95,2
52,73,14
89,8,6
71,27,30
31,87,79
60,27,71
84,4,43
8,65,71
84,50,89
0,46,35
73,95,55
86,28,24
83,47,72
55,75,76
59,2,68
39,82,60
33,6,41
48,55,58
38,67,74
26,6,16
8,34,38
30,73,19
45,30,29
20,50,26
64,88,58
99,39,40
13,5,66
70,7,1
9,41,38
46,92,78
26,37,39
42,53,88
76,64,2
31,6,59
14,42,31
73,71,75
50,9,2
53,5,64
63,44,2
93,80,48
70,87,76
16,75,54
72,47,40
78,68,63
22,12,48
16,81,3
11,53,5
79,93,67
76,20,77
37,31,36
56,51,89
98,16,62
61,95,18
59,25,62
74,45,42
84,48,86
90,13,52
23,2,93
4,3,70
78,39,8
40,1,31
64,70,61
42,12,85
18,17,62
69,35,79
52,62,95
73,33,43
10,34,44
89,51,25
32,79,60
9,62,54
42,67,33
30,84,11
0,70,4
96,30,33
56,69,51
63,81,42
74,56,85
42,84,24
60,55,36
27,39,72
75,0,71
55,75,72
66,30,50
79,71,48
67,60,99
61,55,24
85,14,28
5,63,47
26,57,66
88,93,95
43,60,38
21,11,42
82,27,69
81,61,87
79,5,6
85,80,10
0,39,83
50,61,66
82,91,4
70,36,45
83,9,60
29,50,78
15,9,59
82,73,86
60,70,71
21,7,61
15,52,45
33,69,33
80,99,34
88,88,32
80,5,40
31,25,52
6,60,36
17,50,73
27,22,52
13,57,44
47,45,7
50,48,90
46,84,26
18,88,60
23,2,41
93,25,23
90,94,9
17,88,74
16,87,13
73,41,26
57,72,35
56,74,6
92,64,94
92,5,0
75,81,51
9,78,91
35,38,93
86,21,37
97,56,62
16,84,27
72,41,86
88,71,68
46,87,47
56,81,70
4,71,52
37,29,54
57,59,10
49,17,58
60,46,75
32,99,83
43,6,45
55,35,38
33,75,41
47,70,56
28,87,60
84,51,54
86,25,72
97,21,80
82,9,96
36,84,0
33,16,26
94,2,21
53,14,91
93,24,21
70,29,1
99,6,75
88,4,23
11,49,39
66,48,75
4,51,77
76,84,51
70,95,7
12,64,24
46,81,48
6,11,5
71,84,67
62,24,82
27,31,59
6,14,40
17,75,61
28,29,86
93,21,65
81,80,84
12,94,86
22,27,17
60,19,16
17,74,45
28,77,45
87,72,50
88,91,86
33,77,18
23,41,29
42,88,54
76,20,68
79,37,63
73,68,0
8,62,86
8,87,83
75,4,59
21,29,56
50,89,85
17,84,2
81,63,52
56,87,65
80,51,41
35,34,46
94,4,77
0,5,6
26,48,64
83,64,45
31,55,80
39,63,62
0,46,45
62,84,66
78,85,83
10,19,1
32,49,5
36,6,33
0,61,92
33,85,56
7,91,28
9,70,68
70,87,0
58,45,77
15,32,48
12,9,14
20,95,36
13,97,52
1,73,32
38,34,83
83,24,70
17,97,52
27,11,67
54,82,3
67,63,62
81,33,43
52,50,39
98,86,58
85,65,0
87,76,71
52,99,96
78,10,80
84,50,9
29,5,6
48,93,51
38,15,69
27,30,33
12,94,26
11,33,14
54,67,15
42,6,34
41,95,3
77,88,82
36,66,48
33,7,82
73,66,93
17,39,96
85,23,7
87,68,79
43,53,87
16,27,64
66,73,18
33,99,70
92,5,13
77,68,25
35,59,60
45,75,68
72,77,49
83,33,19
40,91,88
43,38,29
22,78,87
7,30,76
81,47,61
72,83,79
74,97,29
3,6,28
8,54,45
22,75,5
61,43,90
69,65,20
79,52,9
40,45,94
89,37,84
97,60,14
98,64,80
56,22,55
40,8,31
5,52,99
88,96,43
86,15,53
3,41,68
29,25,76
82,85,90
42,9,50
19,36,55
41,1,34
58,28,85
29,23,35
65,7,45
75,74,2
85,21,24
47,52,4
84,35,42
72,98,54
29,37,83
41,83,27
28,13,71
1,79,34
93,54,99
75,10,87
56,38,80
16,37,76
97,62,80
11,18,81
5,88,49
35,74,38
31,84,7
41,9,81
64,38,62
84,52,93
78,43,10
51,21,15
13,95,17
99,17,47
38,93,7
53,83,82
46,20,22
96,50,89
50,73,77
63,61,11
78,84,16
37,18,58
68,5,56
80,27,26
62,28,37
93,44,38
14,92,25
73,79,85
53,26,90
67,0,49
61,75,83
23,69,84
0,70,68
94,16,13
3,45,1
71,24,52
10,25,21
92,67,36
46,67,50
43,34,56
68,49,10
90,97,78
21,52,57
55,4,58
55,71,90
56,65,34
73,49,35
24,29,63
36,84,47
76,84,17
8,49,23
79,67,64
64,95,18
28,77,40
32,42,14
88,98,83
40,98,4
87,2,69
51,12,67
35,46,58
66,20,55
49,85,43
93,36,51
29,9,7
8,35,0
8,70,60
44,62,82
93,17,76
88,20,10
84,63,67
96,70,87
96,37,20
37,32,44
86,42,72
97,48,48
14,15,89
88,5,73
48,67,27
48,92,45
94,34,9
81,39,31
73,80,7
16,99,11
64,24,43
19,70,22
2,43,56
56,35,61
60,91,66
9,67,87
4,71,42
32,54,15
5,47,91
95,88,9
64,80,68
64,21,94
84,88,15
0,20,50
16,9,79
65,93,83
58,24,82
32,94,39
40,7,20
43,88,45
34,38,97
65,95,26
96,82,69
62,27,98
87,71,42
46,36,97
91,60,84
58,96,33
24,64,67
90,95,82
34,89,90
70,80,18
60,47,81
8,33,77
63,43,4
48,34,53
28,35,28
75,89,47
8,68,70
59,45,2
1,73,14
58,66,74
61,97,54
53,62,3
8,31,19
31,28,70
71,33,20
12,4,88
38,7,42
72,98,56
18,26,73
83,38,95
14,55,82
87,59,13
45,82,79
74,19,77
74,67,35
75,97,21
95,97,7
24,33,28
21,91,36
98,64,67
68,48,40
63,4,38
77,55,75
52,93,57
3,58,25
68,16,76
70,68,79
97,53,99
60,64,98
36,98,72
83,75,98
2,29,63
45,92,88
31,58,94
54,77,70
65,7,2
48,64,20
86,9,61
43,70,56
81,67,31
18,49,66
83,74,28
98,41,26
56,90,56
16,98,29
77,21,30
85,92,64
20,34,0
1,95,63
82,70,98
36,9,67
52,25,43
24,84,33
55,57,41
54,45,7
51,53,26
69,18,83
97,33,39
13,61,69
47,73,42
62,12,18
33,59,36
34,29,83
39,12,14
13,17,94
84,85,86
18,51,34
84,13,85
76,78,73
7,4,54
73,8,60
98,35,56
74,28,65
81,55,42
46,13,80
28,14,7
32,95,42
45,81,8
88,35,43
9,94,5
52,97,52
48,26,23
82,56,9
58,77,12
53,46,15
55,61,30
20,56,23
11,35,98
63,46,32
76,97,62
36,93,45
36,58,4
64,55,47
47,70,85
78,71,55
81,21,35
78,23,88
66,18,0
27,50,93
76,6,29
48,34,79
67,70,22
10,42,73
50,31,23
97,73,49
16,57,12
18,47,28
96,78,21
36,68,87
71,95,50
8,17,31
19,49,84
64,35,46
55,9,27
2,8,70
32,93,4
95,93,21
27,22,43
60,91,72
36,33,44
21,83,13
5,62,81
28,59,40
46,30,74
98,89,16
28,84,68
42,97,36
11,78,88
54,11,27
82,43,51
91,80,35
92,70,36
57,93,36
1,90,37
16,55,18
41,62,39
84,40,35
84,59,99
45,72,26
73,1,15
33,44,62
67,49,72
31,3,47
38,63,74
14,53,16
87,52,96
6,62,86
5,73,9
27,84,86
61,86,71
29,8,85
18,85,54
21,57,93
70,29,9
15,76,24
7,25,33
88,33,64
79,9,13
90,72,51
27,89,7
56,5,66
30,74,13
10,78,42
16,22,72
59,38,41
18,97,80
57,9,96
4,73,84
50,28,89
65,85,5
39,47,7
66,80,47
32,93,29
25,88,23
86,93,24
78,28,15
85,65,48
30,14,28
16,21,84
42,56,52
19,52,19
18,43,57
92,43,58
32,31,56
67,8,1
65,2,48
49,71,14
2,61,32
38,36,11
62,27,92
50,21,58
81,32,72
9,18,83
2,57,86
47,29,70
61,92,69
42,56,9
69,0,22
2,78,14
70,26,76
87,2,77
90,24,50
62,79,3
90,34,75
20,5,18
71,58,28
75,57,84
13,81,15
30,23,23
59,5,77
91,74,75
20,9,10
21,21,80
5,5,38
63,84,84
69,10,82
41,87,63
46,60,47
20,22,13
6,54,90
76,28,85
35,79,34
82,41,12
1,46,22
64,66,65
7,20,8
11,81,11
33,92,65
41,41,69
89,96,57
32,20,32
74,49,81
77,57,39
53,47,37
93,76,94
18,68,38
40,86,21
5,63,10
12,6,20
84,75,95
62,7,43
71,8,19
68,69,86
25,34,46
43,52,47
67,98,56
86,79,74
53,82,86
68,63,81
94,30,62
88,78,9
28,42,28
95,90,26
49,97,36
27,78,10
26,97,19
26,75,83
88,50,8
15,96,9
35,14,30
52,46,82
84,7,34
92,30,72
35,45,92
41,57,29
18,83,68
50,53,42
7,39,7
64,16,4
34,22,60
54,52,13
78,80,66
95,98,19
46,56,95
56,75,45
76,82,46
37,20,79
67,20,48
64,50,12
43,30,29
79,60,90
40,66,54
0,81,39
72,13,86
15,15,41
91,12,90
2,60,52
20,14,55
4,32,17
31,51,7
79,20,71
60,25,0
62,73,72
68,55,22
33,13,50
72,57,9
82,55,35
6,70,52
45,20,59
90,35,6
69,57,47
51,13,73
65,48,53
75,77,5
3,27,6
57,38,90
78,11,12
30,33,46
29,78,99
40,87,3
42,43,37
35,89,26
3,36,66
6,37,39
28,64,53
96,93,14
72,31,21
94,42,10
68,16,40
10,67,99
94,43,72
19,2,94
75,13,42
79,75,3
91,74,63
52,85,28
0,57,58
86,9,66
83,41,16
91,55,59
80,99,21
60,21,79
85,76,60
79,67,72
91,41,67
63,89,75
4,11,3
0,89,73
52,65,10
26,67,22
63,57,14
97,41,45
44,40,93
53,18,80
73,88,58
13,53,32
58,73,23
6,85,38
85,16,49
94,52,40
40,15,17
14,68,5
82,26,29
3,8,92
91,72,76
63,90,14
5,5,81
99,90,32
25,26,79
14,46,53
67,13,84
51,20,93
95,42,13
83,65,6
10,12,11
6,46,3
51,55,57
93,57,82
32,71,81
13,10,81
99,99,17
61,38,16
34,94,42
43,75,77
35,29,18
51,52,9
9,22,0
15,92,79
1,84,38
74,56,74
7,20,79
15,41,59
29,62,26
4,10,46
64,56,0
14,84,39
40,52,24
95,5,61
95,42,70
68,94,54
34,23,12
89,69,82
95,86,15
75,79,63
63,21,87
43,7,35
84,22,85
83,67,1
9,39,1
86,7,57
84,71,62
73,59,37
