"x","y","z"
9,86,88
33,29,5
93,30,83
96,72,41
78,54,60
52,86,90
18,53,89
84,99,72
31,13,78
67,44,46
86,95,96
20,34,66
62,92,29
45,88,28
72,23,27
38,43,96
31,42,75
61,34,57
3,1,47
13,95,11
72,21,30
20,52,84
25,85,5
63,98,21
17,17,18
28,53,96
17,82,95
17,7,89
0,31,94
28,68,26
80,6,91
83,90,95
25,49,35
74,14,36
0,8,17
70,10,96
80,79,67
76,59,7
37,73,17
37,58,45
59,60,26
58,96,61
16,9,73
44,20,33
58,58,39
61,47,19
13,4,26
57,96,92
96,73,16
59,30,53
40,71,17
12,47,88
38,49,55
72,94,77
90,42,52
52,52,10
30,64,85
78,84,70
18,96,86
23,6,44
66,14,91
73,73,29
58,9,37
56,51,20
8,51,21
87,71,84
79,27,97
62,33,74
81,0,71
26,76,7
36,27,79
35,82,59
83,58,93
21,6,31
35,0,93
17,62,74
53,0,70
78,17,58
43,9,54
67,1,35
46,2,9
66,23,94
32,87,58
0,23,56
45,53,83
58,38,56
76,56,77
87,68,7
82,99,85
13,46,17
77,34,26
84,74,94
53,94,66
30,60,23
81,46,56
45,98,84
85,9,95
31,87,89
49,47,73
71,34,48
24,58,21
40,36,91
72,23,77
21,76,46
56,69,47
17,76,68
19,68,91
14,10,5
77,41,6
98,39,15
60,86,40
57,80,67
6,62,49
35,40,46
30,2,23
63,71,1
49,74,69
12,63,44
22,3,86
81,1,71
57,58,85
82,53,49
8,67,76
82,31,83
69,77,93
96,19,34
50,18,76
47,8,25
18,70,67
94,7,22
84,81,73
27,22,41
93,90,11
17,2,7
13,56,39
23,36,76
87,58,16
31,89,14
37,13,50
46,54,89
90,69,98
86,63,19
58,46,34
21,36,49
95,36,92
12,32,38
9,51,2
39,55,14
52,3,12
22,99,1
2,2,16
81,14,94
12,71,69
49,52,1
26,42,20
57,29,33
86,40,97
19,35,6
40,7,96
21,74,24
5,38,79
18,53,24
18,52,45
87,59,11
10,51,71
48,38,14
12,17,2
74,93,26
86,95,6
89,5,1
24,79,94
67,91,52
4,26,86
77,48,97
8,28,13
52,90,60
70,6,46
60,21,39
63,26,88
73,4,24
94,88,32
60,69,21
93,77,93
9,7,47
82,87,41
89,76,62
60,87,54
82,78,71
26,40,53
68,91,60
40,18,46
42,40,92
90,75,1
95,67,0
69,73,94
99,76,82
99,53,31
79,86,73
60,76,86
79,0,71
22,45,60
52,70,61
22,27,76
32,84,78
61,26,72
4,29,85
24,89,53
27,27,73
