"x","y","z"
90,72,47
31,44,91
15,82,43
96,23,30
84,94,70
29,44,30
20,64,79
40,98,62
50,34,2
1,89,89
59,1,59
3,6,3
43,28,67
20,91,71
67,80,5
26,30,15
14,94,60
82,18,51
32,86,11
26,61,88
94,42,3
59,84,58
45,92,82
14,45,69
35,17,13
38,81,19
26,65,28
65,62,89
77,16,85
94,79,80
74,78,14
35,80,66
51,65,37
85,88,99
60,19,33
45,42,68
60,59,79
63,42,75
38,83,87
7,18,91
57,74,85
56,49,56
41,86,82
53,18,87
72,20,17
30,23,79
48,1,87
3,71,4
92,36,14
74,21,75
54,95,33
83,93,9
48,73,0
18,99,72
88,68,15
17,47,78
6,59,91
21,3,87
45,18,92
85,89,15
91,68,83
92,29,34
46,32,20
89,79,43
78,22,99
41,26,16
80,30,55
87,7,46
31,45,88
64,64,77
72,0,15
98,68,93
42,77,30
6,91,58
53,54,43
32,84,13
34,15,11
36,78,75
5,71,6
52,84,66
99,93,83
3,50,53
46,60,11
69,72,87
32,71,27
26,75,31
68,88,99
40,81,83
25,40,18
92,82,89
50,41,64
65,57,52
76,0,52
36,12,36
7,53,12
46,8,9
4,62,27
68,0,9
77,69,97
31,25,85
50,20,1
10,77,53
2,18,39
61,26,99
98,59,31
17,55,12
47,11,82
27,30,97
74,52,30
12,70,16
65,87,36
16,2,25
45,22,45
17,41,35
86,30,23
55,28,77
78,75,65
38,97,41
22,24,17
27,98,43
74,48,86
10,47,53
79,26,23
31,77,28
73,78,10
25,0,40
56,98,98
12,30,46
87,20,3
46,58,29
52,42,42
41,46,26
44,34,94
12,61,30
30,91,69
91,40,87
75,3,29
42,51,33
10,12,82
58,6,23
78,77,45
82,34,60
36,2,66
98,39,97
2,19,1
10,75,28
76,56,66
5,19,76
28,75,24
93,0,47
9,23,88
46,43,33
14,16,73
54,69,82
81,68,85
28,83,76
86,89,86
52,87,59
74,77,98
1,3,79
25,72,43
21,46,15
56,6,25
70,9,64
29,50,43
77,2,21
37,41,10
76,91,68
70,66,66
24,88,57
26,8,58
40,76,79
68,17,3
41,89,32
80,21,84
2,59,40
66,18,13
26,21,1
61,12,99
70,59,33
69,98,21
8,42,83
92,20,3
49,66,39
46,77,11
30,93,94
70,35,85
40,39,91
77,39,16
50,10,36
13,45,24
5,46,22
44,17,16
59,31,70
2,63,19
38,21,45
83,31,19
97,28,48
10,63,29
86,65,26
34,3,56
8,99,68
57,90,5
64,8,33
44,15,84
29,99,43
51,8,23
26,78,64
1,28,80
34,5,26
47,69,22
66,18,19
95,70,68
2,65,55
82,71,80
41,22,39
57,34,53
17,39,46
96,10,93
17,11,51
38,33,37
33,97,35
17,91,96
24,79,60
53,60,18
77,96,53
32,27,94
81,54,78
57,62,89
90,63,82
30,40,76
84,77,18
0,80,22
96,17,29
32,59,25
88,11,15
10,96,82
91,99,11
99,52,23
92,46,22
94,43,44
29,28,48
28,47,90
82,79,64
47,41,83
79,63,63
79,75,36
60,7,56
49,41,36
24,33,59
53,32,84
52,22,1
62,55,79
34,57,88
95,8,55
30,60,2
87,14,37
75,52,82
78,34,42
46,9,95
74,64,58
27,49,1
97,34,37
33,73,83
19,31,80
43,19,4
21,45,81
43,66,71
80,26,84
70,81,99
17,10,56
87,54,30
63,26,39
36,85,54
98,58,64
98,6,70
60,82,16
78,46,55
11,50,72
43,18,79
50,98,79
98,69,64
82,36,94
47,45,79
71,8,72
9,20,46
84,1,62
89,88,16
96,79,22
3,79,2
